1A28,0.597763
1AQ1,1.15651
1B5D,0.707473
1B5E,0.681466
1D09,0.729067
1D2S,0.46554
1D8D,0.710745
1DB1,0.885354
1DFO,0.648524
1DVX,1.1877
1E6Y,0.968977
1EJ3,7.85245
1EKX,1.07598
1EPV,4.71659
1EYN,0.482868
1EYQ,0.510847
1F1B,1.16886
1FP1,0.338274
1G4S,0.451799
1G6S,1.18818
1G6T,1.01229
1GP5,0.39717
1GW6,0.303351
1H47,4.98627
1H48,1.09268
1H60,0.566344
1H62,0.380563
1HBO,0.866417
1HBU,0.765641
1IE9,0.647834
1IX1,0.588479
1JCS,0.813325
1JF0,7.71261
1JF2,0.718466
1KDP,0.575163
1LB9,0.418387
1LC8,0.795693
1LNM,1.28491
1LW5,0.376641
1M2Z,0.721698
1MDZ,1.08916
1MI4,1.03096
1ML4,0.424115
1MRO,0.707483
1MRQ,0.559016
1NC3,1.94291
1NIU,0.421202
1NR6,1.08376
1NVQ,0.475394
1NVR,0.849989
1OAR,0.392424
1OKY,0.299097
1OW4,0.543906
1P5E,0.139033
1P7L,1.33959
1Q1Y,0.592552
1Q3D,1.0018
1Q5D,2.13412
1Q95,0.661859
1QPD,0.90795
1QV0,0.629462
1QV1,0.640015
1RF6,1.0926
1RG9,1.56628
1RQJ,1.16255
1S9Q,0.835985
1SD1,2.06461
1SL9,0.784282
1T5Z,0.473244
1T63,0.391945
1T65,0.379631
1T73,0.353929
1T74,0.383661
1T76,0.42105
1T79,0.424096
1T7F,0.406465
1T7J,0.65614
1T7M,0.396923
1T7R,0.39156
1T7T,0.36345
1T9D,7.40126
1TN7,1.21398
1TN8,1.08495
1TP7,1.25687
1TXR,0.47538
1UNL,0.368914
1XBC,0.910608
1XJD,0.413329
1XK9,0.833798
1XRY,0.440746
1YA3,0.648671
1YHS,0.865387
1YV5,1.17916
1ZCW,1.15322
1ZZ1,0.758733
2AA5,0.589017
2AA6,0.598852
2ABA,0.656294
2AMA,0.394461
2AMT,3.91863
2AWH,0.611518
2B00,0.835818
2BAW,1.06209
2BJ4,0.609662
2BVC,5.91683
2BXP,0.562185
2C1Z,6.32062
2C47,1.1799
2C6H,3.9205
2C7X,2.099
2CLE,0.299533
2CLF,0.390451
2CLI,0.713031
2CLL,0.872581
2DQM,0.735602
2E8X,0.867261
2EK9,0.62616
2F9K,0.400876
2FWZ,1.67264
2GG6,0.543186
2GGA,1.05886
2GGD,1.02435
2GPU,0.627083
2GX4,1.03074
2GZL,1.88523
2HC4,1.04461
2HFK,1.2458
2HI4,0.156431
2HPT,0.577983
2HU4,0.898408
2HZQ,0.640111
2I4U,0.710705
2I4V,0.79038
2J9X,0.771531
2JF9,0.536381
2JI6,2.04148
