file,molecule,position,mol_pred_loaded,mol_true_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,molecular_formula,molecular_bonds,double_bond_stereochemistry,tetrahedral_chirality,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,rmsd_≤_2å
SurfDock_docking_result/1FP1_protein_processed_obabel_reduce_obabel_8A_1FP1_ligand/1FP1_1FP1_ligand_1FP1_ligand.sdf_file_inner_idx_0_sample_idx_34_rank_1_rmsd_0.338273916708575_confidence_294.74627972402436.sdf,1FP1_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1G4S_protein_processed_obabel_reduce_obabel_8A_1G4S_ligand/1G4S_1G4S_ligand_1G4S_ligand.sdf_file_inner_idx_0_sample_idx_31_rank_1_rmsd_0.4517987601403918_confidence_405.03879898271225.sdf,1G4S_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1G6S_protein_processed_obabel_reduce_obabel_8A_1G6S_ligand/1G6S_1G6S_ligand_1G6S_ligand.sdf_file_inner_idx_0_sample_idx_32_rank_1_rmsd_1.1881705532021194_confidence_181.86990630575272.sdf,1G6S_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True
SurfDock_docking_result/1G6T_protein_processed_obabel_reduce_obabel_8A_1G6T_ligand/1G6T_1G6T_ligand_1G6T_ligand.sdf_file_inner_idx_0_sample_idx_5_rank_1_rmsd_1.012305419078026_confidence_251.17843028737659.sdf,1G6T_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
SurfDock_docking_result/1GP5_protein_processed_obabel_reduce_obabel_8A_1GP5_ligand/1GP5_1GP5_ligand_1GP5_ligand.sdf_file_inner_idx_0_sample_idx_27_rank_1_rmsd_0.39715774652420377_confidence_344.075235748592.sdf,1GP5_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1GW6_protein_processed_obabel_reduce_obabel_8A_1GW6_ligand/1GW6_1GW6_ligand_1GW6_ligand.sdf_file_inner_idx_0_sample_idx_15_rank_1_rmsd_0.3033548113906145_confidence_437.21608765041833.sdf,1GW6_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
SurfDock_docking_result/1H48_protein_processed_obabel_reduce_obabel_8A_1H48_ligand/1H48_1H48_ligand_1H48_ligand.sdf_file_inner_idx_0_sample_idx_26_rank_1_rmsd_1.092667310296636_confidence_232.74701295773733.sdf,1H48_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
SurfDock_docking_result/1H60_protein_processed_obabel_reduce_obabel_8A_1H60_ligand/1H60_1H60_ligand_1H60_ligand.sdf_file_inner_idx_0_sample_idx_31_rank_1_rmsd_0.5663480321202702_confidence_130.51044901721966.sdf,1H60_ligand,0,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1H62_protein_processed_obabel_reduce_obabel_8A_1H62_ligand/1H62_1H62_ligand_1H62_ligand.sdf_file_inner_idx_0_sample_idx_9_rank_1_rmsd_0.38056710153253476_confidence_229.43792701864717.sdf,1H62_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1HBO_protein_processed_obabel_reduce_obabel_8A_1HBO_ligand/1HBO_1HBO_ligand_1HBO_ligand.sdf_file_inner_idx_0_sample_idx_2_rank_1_rmsd_0.8664160069851138_confidence_355.5231269767725.sdf,1HBO_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
SurfDock_docking_result/1HBU_protein_processed_obabel_reduce_obabel_8A_1HBU_ligand/1HBU_1HBU_ligand_1HBU_ligand.sdf_file_inner_idx_0_sample_idx_34_rank_1_rmsd_0.7656344364823715_confidence_362.3553345700409.sdf,1HBU_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SurfDock_docking_result/1IE9_protein_processed_obabel_reduce_obabel_8A_1IE9_ligand/1IE9_1IE9_ligand_1IE9_ligand.sdf_file_inner_idx_0_sample_idx_9_rank_1_rmsd_0.6478424881336522_confidence_496.70792984796236.sdf,1IE9_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
SurfDock_docking_result/1IX1_protein_processed_obabel_reduce_obabel_8A_1IX1_ligand/1IX1_1IX1_ligand_1IX1_ligand.sdf_file_inner_idx_0_sample_idx_31_rank_1_rmsd_0.5884796171602321_confidence_290.1694525107702.sdf,1IX1_ligand,0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
SurfDock_docking_result/1JCS_protein_processed_obabel_reduce_obabel_8A_1JCS_ligand/1JCS_1JCS_ligand_1JCS_ligand.sdf_file_inner_idx_0_sample_idx_2_rank_1_rmsd_0.8133257464245965_confidence_292.89771697123774.sdf,1JCS_ligand,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
